source_repository	source_path	source_revision	source_sha256	role	public_eligibility	canonical_counterpart	decision	evidence	validation	preservation
narikiri2-an9j-save-fix	.gitattributes	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	7a4d8f757b4e0ed596f5ecf627c77306fd6e84fb82420fbb36f6b3eeb7259aea	current implementation/input	Existing canonical sanitized/updated counterpart	.gitattributes	SUPERSEDED_WITH_EVIDENCE	Canonical source-bound authored/hash representation supersedes older raw source text/profile metadata; exact frozen v0.9 and v0.9a builds verify the adopted product, without importing the old corpus.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	.gitignore	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	c45f40ce19247c38519ae3d5bf2f8297a7587ab5460ea47c2942c4185f554255	current implementation/input	Existing canonical sanitized/updated counterpart	.gitignore	SUPERSEDED_WITH_EVIDENCE	Canonical source-bound authored/hash representation supersedes older raw source text/profile metadata; exact frozen v0.9 and v0.9a builds verify the adopted product, without importing the old corpus.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	AGENTS.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	1d721f09827bb9f29e4087a1f41c180048503bb0524a4ed904f5f787dd55cda3	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	candidate_a.g3diag.a	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	e0e80cfcb094ea045e7467ddba2fa832d2cec6ad112847954587fa26018e4874	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	candidate_a.g3diag.b	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	e0e80cfcb094ea045e7467ddba2fa832d2cec6ad112847954587fa26018e4874	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	candidate_a.sav	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	8fcb676bd49121976f20a054b262f04255429852857c0be382cbcaca44c1b54f	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	CHANGELOG.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	98525d5600b82d52e143004f2d3f51e54b7b205b70a835f29c0c57cbb3cac677	current implementation/input	Existing canonical sanitized/updated counterpart	CHANGELOG.md	SUPERSEDED_WITH_EVIDENCE	Canonical source-bound authored/hash representation supersedes older raw source text/profile metadata; exact frozen v0.9 and v0.9a builds verify the adopted product, without importing the old corpus.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	COMPLETE_KOREAN_RELEASE_REPORT.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	f7770645743202632fc5a66677a145033ea2b11b37b7b1807a443a2d4a351535	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	DALMOORI_8X8_MIGRATION_REPORT.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	be5f30c2ec8d8310169dc3224fd4df52194fb83b2c0ea3509788698c239ac484	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	DEVELOPMENT_BUILD.md	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	6647be208cda40aa9f7e372dfa7220a34d4258b04838d41d70f9efe23cac4989	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	EXECUTION_STATE.json	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	95ecd4e52cdd6259b2e37a4634bdd783f248399ca5f78be561cb2a1aaa91b54a	historical decisions/status	NO: historical/private data not selected for publication	MIGRATION.md; RELEASE_POLICY.md; docs/migration/FOLLOW_UP.md	SUPERSEDED_WITH_EVIDENCE	v0.9 historical status is superseded by v0.9a, not deleted. Adopted save/font/FFR/rights/version policies remain in active docs; pending hardware/full-play work is carried forward.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
narikiri2-an9j-save-fix	NARIKIRI2_CODEX_FFR_v0.9_통합_배포_명령문_패키지.zip	working tree based on 0e18f64a488901a8a565fbcd9da8b7413aa91e10	77b60f4fc0a7a1ed1dd8962606cf75128793337c9ac75d516e8d24315e41dfeb	historical investigation/reference	NO: historical/private data not selected for publication		PRIVATE_ARCHIVE_ONLY	Preserved by SHA-256 in the private working-file manifest; not a current product dependency.	baseline 102 / candidate 134 tests; exact ROM/BPS reproduction; see individual test map	private backup: legacy working-files manifest
