id	storage	source_pointer	source_sha256	text
JOB_000_FULL	002B580C	082B95BC	0f1c84d08c7a3394aa5b1cf8eadc978191966782796c9957d899917af2c00042	없음
JOB_001_FULL	002B584C	08802052	04b83ef217cd18e620ecbfe4911f962de4c9305c7486511d3c41a704f0e4dba9	크레스
JOB_002_FULL	002B588C	0880204B	20d2a39f65d59e823350c7a2fa7721417a65690f1bb8b9ffec464b2346dc28d5	체스터
JOB_003_FULL	002B58CC	08802046	bf172db3d4f74f48b10083c2a5d19ee1b9df277f5257ad973276080e90581d17	민트
JOB_004_FULL	002B590C	0880203F	a8e9e88223ab9780550245b0ea9b9fec36802a4cf3d3189e0cd477d4dd6d7758	클라스
JOB_005_FULL	002B594C	0880203A	3b056e84c47bd50a35cf25d553c383ace2f086bf188abe7b79c660092299d831	아체
JOB_006_FULL	002B598C	08802035	3250e2df959f85a4e93a99853d0c5764f03467e0a601cfda304e485416cc5fdc	스즈
JOB_007_FULL	002B59CC	08802030	a63f51d93c19ca0dc9981bd3260e54a6cf4503595f902d765226800bb3767efe	스탄
JOB_008_FULL	002B5A0C	0880202B	38dc3dc8c9bd9f779dfa303f0a297dd22d311bc70e78192638d0391dde37b9ad	루티
JOB_009_FULL	002B5A4C	08802026	f3d866cfc87ef337efe664924391a6159b43ab0d30736e217a4ac6d2d29db9de	리온
JOB_010_FULL	002B5A8C	0880201F	fc615926467e1285146f4c4056f1df70dbd4494787d52dbade751a3f4264b2c1	필리아
JOB_011_FULL	002B5ACC	08802016	248d8eb2fdc8a8cf9bae3dc56bcfbb716f17a8091d6c7762b125d4148a84c85a	우드로우
JOB_012_FULL	002B5B0C	08802011	f73033a025e8058d0f60d05dfe8efb225ce0977cbb8e662ad69d5c2d70a508ef	첼시
JOB_013_FULL	002B5B4C	0880200C	99e72483a6c28de72e974b5a1d9d04cfa94a29d0bf4b6622f2c8706c23010663	마리
JOB_014_FULL	002B5B8C	08802007	a43c1824b50ee01b28ae0e7f47ab79792c862eeeee43c07242451053919466ad	콩맨
JOB_015_FULL	002B5BCC	08802002	da3adcf23ced199db89921bef1bb2b2bc0d86a9d31f049c29317279be3b63cde	죠니
JOB_016_FULL	002B5C0C	08801FFD	04dcac93a36a4194fb380303956aae859842863e851aff84ef09066fb1e83eae	리드
JOB_017_FULL	002B5C4C	08801FF8	a48f68bdfd059382c778bde6e38324ccb50ba04218f54a8ed3b222a512b112ad	파라
JOB_018_FULL	002B5C8C	08801FF5	a29a2fcbc88d3de2d7990b8448f5486f8e6cf2851a559f1203e7d22c2810407a	킬
JOB_019_FULL	002B5CCC	08801FEE	44f59d295267fd25d408a13a7b058dad35237009ccf19242e6113505256b82de	메르디
JOB_020_FULL	002B5D0C	08801FE9	17509a990271c33a10ba91c0e1c5ee179428c0b3fceaab8c51150e5be8ab0cfb	포그
JOB_021_FULL	002B5D4C	08801FE4	b2a705ea1f0f0b02f31daa00838531fddb5b517e97d4588d3edac67008a13b8b	채트
JOB_022_FULL	002B5D8C	08801FDD	bc9abfe0dffa1fef652129a07cfead4d8bd2e9556baff9457e83ac25a08552fd	레이스
JOB_023_FULL	002B5DCC	08801FD6	47dfddd15bfce8b4a972740a9921c28c6b6838f895e52d5e792dffa3f06b288f	다오스
JOB_024_FULL	002B5E0C	08801FCF	804b3d8ac6b1a63e45a72c1544ba6de4116509c0e6e57b5f8ddbe5157289bcd5	리리스
JOB_025_FULL	002B5E4C	08801FC6	d5241b595973753c6a580fd083fcc8ddfcf0d6203279ee414beb6f653a6b5692	셀시우스
JOB_026_FULL	002B5E8C	08801FBB	f2586fac206f9b9250743556fec4b45527ec835c8707ac08a231c3b0954fc1ca	미랄드
JOB_027_FULL	002B5ECC	08801FB6	47344afdec0a4c2fd4885d735fd0bd43981183aeae2ce4baaca43d4757389308	아미
JOB_028_FULL	002B5F0C	08801FAD	c421d672068b902021d127b0405029fc861690ccc38f53b86196d9fb618d4f5e	딤로스
JOB_029_FULL	002B5F4C	08801FA0	ddee4c18cfb68e6d6ca917c51051e0536bc2cf673b3c90458b048ae8e8b9b07d	나리키리사
JOB_030_FULL	002B5F8C	08801FA0	ddee4c18cfb68e6d6ca917c51051e0536bc2cf673b3c90458b048ae8e8b9b07d	나리키리사
JOB_031_FULL	002B5FCC	08801F9B	020aea6eaff920d07d945e80e0acf76712251058a42f616e6cb59175f793c90a	검사
JOB_032_FULL	002B600C	08801F9B	020aea6eaff920d07d945e80e0acf76712251058a42f616e6cb59175f793c90a	검사
JOB_033_FULL	002B604C	08801F94	32d7eb46cc9e663e8eaca4573b9d4fd80259778776c745516112164dcb09376d	격투가
JOB_034_FULL	002B608C	08801F94	32d7eb46cc9e663e8eaca4573b9d4fd80259778776c745516112164dcb09376d	격투가
JOB_035_FULL	002B60CC	08801F8F	c2cecbc478137cbd292c3a60389b20a91f612653498725fc5a6451c933b9b67a	아처
JOB_036_FULL	002B610C	08801F8F	c2cecbc478137cbd292c3a60389b20a91f612653498725fc5a6451c933b9b67a	아처
JOB_037_FULL	002B614C	08801F88	c41bca4ba39c6d7503f16c312306b2e8b5e1b007b96d00381048d906eace4836	클레릭
JOB_038_FULL	002B618C	08801F88	c41bca4ba39c6d7503f16c312306b2e8b5e1b007b96d00381048d906eace4836	클레릭
JOB_039_FULL	002B61CC	08801F83	033b1a9d70957009dc6d7541fb741a5c46c37a6c573fca6e3a2a6a9e13441fff	닌자
JOB_040_FULL	002B620C	08801F83	033b1a9d70957009dc6d7541fb741a5c46c37a6c573fca6e3a2a6a9e13441fff	닌자
JOB_041_FULL	002B624C	08801F7C	c62e8816a317a99792233d7aed7df5806dedb0559f37b4634ff4fdc9a2156a99	위저드
JOB_042_FULL	002B628C	08801F77	4be60818c7a7be96b95e18bb5eaf9f17b56d4c45b29a33669796816b8c32344e	윗치
JOB_043_FULL	002B62CC	08801F72	0964091f2550e9a7f117be070617df12b7c544fbf27475c9fd61aadbe9cff2ba	상인
JOB_044_FULL	002B630C	08801F72	0964091f2550e9a7f117be070617df12b7c544fbf27475c9fd61aadbe9cff2ba	상인
JOB_045_FULL	002B634C	08801F6B	de7d407422fac5040136660c68c678b2e06d8560768158db286285a09e2d7fff	갬블러
JOB_046_FULL	002B638C	08801F66	c407a5f1e803ce3c84c2042024a14e6bca7e58b55afb796f744356feeeb2d49b	무용수
JOB_047_FULL	002B63CC	08801F5D	8dd720d05145a618aa9f03a17d53b6c9de29179e15605694c36d8511f9d7b158	원더셰프
JOB_048_FULL	002B640C	08801F5D	8dd720d05145a618aa9f03a17d53b6c9de29179e15605694c36d8511f9d7b158	원더셰프
JOB_049_FULL	002B644C	08801F58	ea9f5bf97905bd2820b95f2dca30a72196849b51380a18bed8ec29336490727a	놀이꾼
JOB_050_FULL	002B648C	08801F58	ea9f5bf97905bd2820b95f2dca30a72196849b51380a18bed8ec29336490727a	놀이꾼
JOB_051_FULL	002B64CC	08801F4F	5a7d54f40b6b3ff392c44b2aef6d7f30d14604bdeda8b00f40b37c4079855364	닥터
JOB_052_FULL	002B650C	08801F46	4085504caba7e80abb685c3dfdf5f13568955366216a6484f6b14df8109a0638	너스
JOB_053_FULL	002B654C	08801F3F	5d32d7027ee1d43036ead9ecabc44939c0d6c3bb137d51fe89c011fea2d14dc8	음악가
JOB_054_FULL	002B658C	08801F3F	5d32d7027ee1d43036ead9ecabc44939c0d6c3bb137d51fe89c011fea2d14dc8	음악가
JOB_055_FULL	002B65CC	08801F3A	9b01121cdae916fe09bfe6846d57e4482cd67735a65618c0a8582ac7d60c61d1	학자
JOB_056_FULL	002B660C	08801F3A	9b01121cdae916fe09bfe6846d57e4482cd67735a65618c0a8582ac7d60c61d1	학자
