id	text
JOB_000	없음
JOB_001	크레스
JOB_002	체스터
JOB_003	민트
JOB_004	클라스
JOB_005	아체
JOB_006	스즈
JOB_007	스탄
JOB_008	루티
JOB_009	리온
JOB_010	필리아
JOB_011	우드로우
JOB_012	첼시
JOB_013	마리
JOB_014	콩맨
JOB_015	죠니
JOB_016	리드
JOB_017	파라
JOB_018	킬
JOB_019	메르디
JOB_020	포그
JOB_021	채트
JOB_022	레이스
JOB_023	다오스
JOB_024	리리스
JOB_025	셀시우스
JOB_026	미랄드
JOB_027	아미
JOB_028	딤로스
JOB_029	나리키리사
JOB_030	나리키리사
JOB_031	검사
JOB_032	검사
JOB_033	격투가
JOB_034	격투가
JOB_035	아처
JOB_036	아처
JOB_037	클레릭
JOB_038	클레릭
JOB_039	닌자
JOB_040	닌자
JOB_041	위저드
JOB_042	윗치
JOB_043	상인
JOB_044	상인
JOB_045	갬블러
JOB_046	무용수
JOB_047	원더셰프
JOB_048	원더셰프
JOB_049	놀이꾼
JOB_050	놀이꾼
JOB_051	닥터
JOB_052	너스
JOB_053	음악가
JOB_054	음악가
JOB_055	학자
JOB_056	학자
JOB_057	고양이인
JOB_058	고양이인
JOB_059	마술사
JOB_060	모델
JOB_061	왈큐레
JOB_062	드릴러
JOB_063	도적
JOB_064	도적
JOB_065	염검사
JOB_066	염검사
JOB_067	질풍검사
JOB_068	질풍검사
JOB_069	빙우검사
JOB_070	빙우검사
JOB_071	버서커
JOB_072	아마조네스
JOB_073	번개검사
JOB_074	번개검사
JOB_075	성검사
JOB_076	성검사
JOB_077	마검사
JOB_078	마검사
JOB_079	검호
JOB_080	검호
JOB_081	열혈투사
JOB_082	열혈투사
JOB_083	질풍투사
JOB_084	질풍투사
JOB_085	빙설투사
JOB_086	빙설투사
JOB_087	암석투사
JOB_088	암석투사
JOB_089	번개투사
JOB_090	번개투사
JOB_091	몽크
JOB_092	몽크
JOB_093	패왕
JOB_094	패왕
JOB_095	철권
JOB_096	철권
JOB_097	슈터
JOB_098	슈터
JOB_099	빙우사수
JOB_100	빙우사수
JOB_101	헌터
JOB_102	헌트레스
JOB_103	번개사수
JOB_104	번개사수
JOB_105	소이광
JOB_106	아르테미스
JOB_107	스나이퍼
JOB_108	스나이퍼
JOB_109	강궁병
JOB_110	강궁병
JOB_111	기도사
JOB_112	기도사
JOB_113	순례자
JOB_114	순례자
JOB_115	예언자
JOB_116	예언자
JOB_117	파계승
JOB_118	파계승
JOB_119	화염닌자
JOB_120	화염닌자
JOB_121	아라시
JOB_122	카마이타치
JOB_123	키리가쿠레
JOB_124	츠나데
JOB_125	츠치구모
JOB_126	츠치구모
JOB_127	지라이야
JOB_128	쿠노이치
JOB_129	봉마사
JOB_130	봉마사
JOB_131	은밀
JOB_132	은밀
JOB_133	닌자 두령
JOB_134	닌자 두령
JOB_135	플레어 메이지
JOB_136	플레어 메이지
JOB_137	윈드 메이지
JOB_138	윈드 메이지
JOB_139	아쿠아 메이지
JOB_140	아쿠아 메이지
JOB_141	어스 메이지
JOB_142	어스 메이지
JOB_143	선더 메이지
JOB_144	선더 메이지
JOB_145	엔챈터
JOB_146	엔챈트레스
JOB_147	네크로맨서
JOB_148	네크로맨서
JOB_149	위저드 로드
JOB_150	윗치 로드
JOB_151	스파이
JOB_152	스파이
JOB_153	해적
JOB_154	해적
JOB_155	산적
JOB_156	산적
JOB_157	괴도
JOB_158	괴도
JOB_159	어새신
JOB_160	어새신
JOB_161	트레저 헌터
JOB_162	트레저 헌터
JOB_163	파이어 댄서
JOB_164	여행예능인
JOB_165	물예능인
JOB_166	탭 댄서
JOB_167	무녀
JOB_168	아이돌
JOB_169	섀도우 댄서
JOB_170	무희
JOB_171	화산학자
JOB_172	화산학자
JOB_173	기상학자
JOB_174	기상학자
JOB_175	해양학자
JOB_176	해양학자
JOB_177	지질학자
JOB_178	지질학자
JOB_179	발명가
JOB_180	발명가
JOB_181	신학자
JOB_182	신학자
JOB_183	천문학자
JOB_184	천문학자
JOB_185	물리학자
JOB_186	물리학자
JOB_187	트릭스타
JOB_188	일류져니스트
JOB_189	기술사
JOB_190	저글러
JOB_191	맛무사
JOB_192	맛무사
JOB_193	프리스트
JOB_194	프리스테스
JOB_195	드루이드
JOB_196	드루이드
JOB_197	미스틱
JOB_198	미스틱
JOB_199	비숍
JOB_200	비숍
