id	text
CHARACTER_BOOK_000	크레스
CHARACTER_BOOK_001	체스터
CHARACTER_BOOK_002	민트
CHARACTER_BOOK_003	클라스
CHARACTER_BOOK_004	아체
CHARACTER_BOOK_005	스즈
CHARACTER_BOOK_006	스탄
CHARACTER_BOOK_007	루티
CHARACTER_BOOK_008	리온
CHARACTER_BOOK_009	필리아
CHARACTER_BOOK_010	우드로우
CHARACTER_BOOK_011	첼시
CHARACTER_BOOK_012	마리
CHARACTER_BOOK_013	콩맨
CHARACTER_BOOK_014	죠니
CHARACTER_BOOK_015	리드
CHARACTER_BOOK_016	파라
CHARACTER_BOOK_017	킬
CHARACTER_BOOK_018	메르디
CHARACTER_BOOK_019	포그
CHARACTER_BOOK_020	채트
CHARACTER_BOOK_021	레이스
BATTLE_COMMAND_000	캐릭터 선택
BATTLE_COMMAND_001	조작 캐릭터
BATTLE_COMMAND_002	마법
BATTLE_COMMAND_003	기술 배정
BATTLE_COMMAND_004	조작 방식
BATTLE_COMMAND_005	캐릭터 정지
BATTLE_COMMAND_006	대미지
BATTLE_COMMAND_007	작전
BATTLE_COMMAND_008	회복
BATTLE_COMMAND_009	걷는 속도
BATTLE_COMMAND_010	달리는 속도
BATTLE_COMMAND_011	맵
BATTLE_COMMAND_012	종료
BATTLE_NAME_000	크레스
BATTLE_NAME_001	체스터
BATTLE_NAME_002	민트
BATTLE_NAME_003	클라스
BATTLE_NAME_004	아체
BATTLE_NAME_005	스즈
BATTLE_NAME_006	스탄
BATTLE_NAME_007	루티
BATTLE_NAME_008	리온
BATTLE_NAME_009	필리아
BATTLE_NAME_010	우드로우
BATTLE_NAME_011	첼시
BATTLE_NAME_012	마리
BATTLE_NAME_013	콩맨
BATTLE_NAME_014	죠니
BATTLE_NAME_015	리드
BATTLE_NAME_016	파라
BATTLE_NAME_017	킬
BATTLE_NAME_018	메르디
BATTLE_NAME_019	포그
BATTLE_NAME_020	채트
BATTLE_NAME_021	레이스
BATTLE_NAME_022	레오니스
BATTLE_NAME_023	멘델
BATTLE_NAME_024	그라이드
BATTLE_NAME_025	장
BATTLE_NAME_026	엘레인
BATTLE_NAME_027	훈다크르
BATTLE_NAME_028	가멜
BATTLE_NAME_029	루시아
BATTLE_NAME_030	루츠
BATTLE_NAME_031	에다
BATTLE_NAME_032	로즈
BATTLE_NAME_033	셰프 벡
BATTLE_NAME_034	포르포르
BATTLE_NAME_035	라이엘
BATTLE_NAME_036	시스터 밀
BATTLE_NAME_037	스테비아
BATTLE_NAME_038	퀵키
BATTLE_NAME_039	에이다
BATTLE_NAME_040	스텔라
BATTLE_NAME_041	시엘
BATTLE_NAME_042	사나토스
BATTLE_NAME_043	대니
BATTLE_NAME_044	심스
BATTLE_NAME_045	랄프
BATTLE_NAME_046	로스
BATTLE_NAME_047	해리
BATTLE_NAME_048	코린
BATTLE_NAME_049	샘
BATTLE_NAME_050	제프
BATTLE_NAME_051	클레이
BATTLE_NAME_052	렉
BATTLE_NAME_053	마크
BATTLE_NAME_054	칼
BATTLE_NAME_055	로이드
BATTLE_NAME_056	사울
BATTLE_NAME_057	알
SELECT_PARTY_000	동료0
SELECT_PARTY_001	동료1
SELECT_PARTY_002	동료2
SELECT_PARTY_003	적0
SELECT_PARTY_004	적1
SELECT_PARTY_005	적2
SELECT_PARTY_006	적3
SELECT_ENEMY_000	동료0
SELECT_ENEMY_001	동료1
SELECT_ENEMY_002	동료2
SELECT_ENEMY_003	적0
SELECT_ENEMY_004	적1
SELECT_ENEMY_005	적2
SELECT_ENEMY_006	적3
