id	text
MONSTER_000	없음
MONSTER_001	녹터널 플라이
MONSTER_002	칸바라 베어
MONSTER_003	에그 베어
MONSTER_004	그리즐리
MONSTER_005	킬러 비
MONSTER_006	테러 니들
MONSTER_007	호넷
MONSTER_008	사이스 캐리어
MONSTER_009	데스
MONSTER_010	메가데스
MONSTER_011	파이어 버드
MONSTER_012	피닉스
MONSTER_013	갤로스 버드
MONSTER_014	시 스핀
MONSTER_015	킹피시
MONSTER_016	나이트 플라이어
MONSTER_017	파이어 플라이어
MONSTER_018	불프로그
MONSTER_019	자이언트 스파이더
MONSTER_020	타란툴라
MONSTER_021	아라네아
MONSTER_022	폴터가이스트
MONSTER_023	버펄로
MONSTER_024	팔시아 혼즈
MONSTER_025	아이언 골렘
MONSTER_026	미스릴 골렘
MONSTER_027	하피
MONSTER_028	페더 매직
MONSTER_029	브리즈 키퍼
MONSTER_030	로키 호크
MONSTER_031	포레스트 호크
MONSTER_032	프레리 호크
MONSTER_033	그래스호퍼
MONSTER_034	파이어 버그
MONSTER_035	데들리 인섹트
MONSTER_036	슬라임
MONSTER_037	오커 젤리
MONSTER_038	팬텀 나이트
MONSTER_039	만티코어
MONSTER_040	가로
MONSTER_041	메두사
MONSTER_042	라미아
MONSTER_043	트롤
MONSTER_044	오거
MONSTER_045	비스트 오거
MONSTER_046	시 슬러그
MONSTER_047	블러드서커
MONSTER_048	밴더스내치
MONSTER_049	아이스 타이거
MONSTER_050	스콜피온
MONSTER_051	니들 셸
MONSTER_052	스타피시
MONSTER_053	슈퍼스타
MONSTER_054	톨맨
MONSTER_055	라우카마르
MONSTER_056	포아스
MONSTER_057	윌 오 위스프
MONSTER_058	나이트 레이드
MONSTER_059	다이어 울프
MONSTER_060	헬하운드
MONSTER_061	와이번
MONSTER_062	드레이크
MONSTER_063	헬카이트
MONSTER_064	리퍼 시클
MONSTER_065	에어 슬라이서
MONSTER_066	카바도일
MONSTER_067	스켈레톤
MONSTER_068	드래곤 투스
MONSTER_069	섀도 서번트
MONSTER_070	래피드 래빗
MONSTER_071	해마
MONSTER_072	스노우 로브스터
MONSTER_073	크라켄
MONSTER_074	구울
MONSTER_075	리빙 데드
MONSTER_076	와이트
MONSTER_077	아처
MONSTER_078	거스트 슈터
MONSTER_079	아쿠아 슈터
MONSTER_080	일렉 슈터
MONSTER_081	요이치
MONSTER_082	마초
MONSTER_083	일렉 펀처
MONSTER_084	갓 핸드
MONSTER_085	그래플러
MONSTER_086	권왕
MONSTER_087	배틀러
MONSTER_088	거스트 배틀러
MONSTER_089	아쿠아 배틀러
MONSTER_090	플레임 배틀러
MONSTER_091	록 배틀러
MONSTER_092	전사
MONSTER_093	일렉 가드
MONSTER_094	헤비 가드
MONSTER_095	다크 가드
MONSTER_096	라이트 가드
MONSTER_097	위치
MONSTER_098	록 위치
MONSTER_099	아쿠아 위치
MONSTER_100	라이트 위치
MONSTER_101	플레임 위치
MONSTER_102	위저드
MONSTER_103	윈드 메이지
MONSTER_104	네크로맨서
MONSTER_105	플레임 메이지
MONSTER_106	라이트 메이지
MONSTER_107	페이크
MONSTER_108	판도라
MONSTER_109	용궁 상자
MONSTER_110	플레임 소드
MONSTER_111	아쿠아 소드
MONSTER_112	록 소드
MONSTER_113	윈드 소드
MONSTER_114	썬더 소드
MONSTER_115	다크 소드
MONSTER_116	라이트 소드
MONSTER_117	리빙 소드
MONSTER_118	포이즌 토드
MONSTER_119	본 나이트
MONSTER_120	플러시 헤어
MONSTER_121	플로트 드래곤
MONSTER_122	트리톤
MONSTER_123	아쿠아 스핀
MONSTER_124	이블 스타
MONSTER_125	베놈
MONSTER_126	킥 프로그
MONSTER_127	킹 프로그
MONSTER_128	레드 시저스
MONSTER_129	레드 푸딩
MONSTER_130	스피릿
MONSTER_131	옥토슬라이미
MONSTER_132	브론즈 골렘
MONSTER_133	멘델
MONSTER_134	리온?
MONSTER_135	다오스
MONSTER_136	셀시우스
MONSTER_137	왈큐레
MONSTER_138	사나토스?
MONSTER_139	크레스?
MONSTER_140	스탄?
MONSTER_141	리드?
MONSTER_142	사나토스
MONSTER_143	크레스
MONSTER_144	파라
MONSTER_145	콩맨
MONSTER_146	루티
MONSTER_147	루티
MONSTER_148	루티
MONSTER_149	루티
MONSTER_150	루티
MONSTER_151	루티
MONSTER_152	마리
MONSTER_153	마리
MONSTER_154	마리
MONSTER_155	마리
MONSTER_156	마리
MONSTER_157	마리
MONSTER_158	아체
MONSTER_159	아체
MONSTER_160	아체
MONSTER_161	아체
MONSTER_162	아체
MONSTER_163	아체
MONSTER_164	???
