id	text
SELECT_JOB_000	없음
SELECT_JOB_001	크레스
SELECT_JOB_002	체스터
SELECT_JOB_003	민트
SELECT_JOB_004	클라스
SELECT_JOB_005	아체
SELECT_JOB_006	스즈
SELECT_JOB_007	스탄
SELECT_JOB_008	루티
SELECT_JOB_009	리온
SELECT_JOB_010	필리아
SELECT_JOB_011	우드로우
SELECT_JOB_012	첼시
SELECT_JOB_013	마리
SELECT_JOB_014	콩맨
SELECT_JOB_015	죠니
SELECT_JOB_016	리드
SELECT_JOB_017	파라
SELECT_JOB_018	킬
SELECT_JOB_019	메르디
SELECT_JOB_020	포그
SELECT_JOB_021	채트
SELECT_JOB_022	레이스
SELECT_JOB_023	다오스
SELECT_JOB_024	리리스
SELECT_JOB_025	셀시우스
SELECT_JOB_026	미랄드
SELECT_JOB_027	아미
SELECT_JOB_028	딤로스
SELECT_JOB_029	나리키리사
SELECT_JOB_030	나리키리사
SELECT_JOB_031	검사
SELECT_JOB_032	검사
SELECT_JOB_033	격투가
SELECT_JOB_034	격투가
SELECT_JOB_035	아처
SELECT_JOB_036	아처
SELECT_JOB_037	클레릭
SELECT_JOB_038	클레릭
SELECT_JOB_039	닌자
SELECT_JOB_040	닌자
SELECT_JOB_041	위저드
SELECT_JOB_042	윗치
SELECT_JOB_043	상인
SELECT_JOB_044	상인
SELECT_JOB_045	갬블러
SELECT_JOB_046	무용수
SELECT_JOB_047	원더셰프
SELECT_JOB_048	원더셰프
SELECT_JOB_049	놀이꾼
SELECT_JOB_050	놀이꾼
SELECT_JOB_051	닥터
SELECT_JOB_052	너스
SELECT_JOB_053	음악가
SELECT_JOB_054	음악가
SELECT_JOB_055	학자
SELECT_JOB_056	학자
SELECT_JOB_057	고양이인
SELECT_JOB_058	고양이인
SELECT_JOB_059	마술사
SELECT_JOB_060	모델
SELECT_JOB_061	왈큐레
SELECT_JOB_062	드릴러
SELECT_JOB_063	도적
SELECT_JOB_064	도적
SELECT_JOB_065	염검사
SELECT_JOB_066	염검사
SELECT_JOB_067	질풍검사
SELECT_JOB_068	질풍검사
SELECT_JOB_069	빙우검사
SELECT_JOB_070	빙우검사
SELECT_JOB_071	버서커
SELECT_JOB_072	아마조네스
SELECT_JOB_073	번개검사
SELECT_JOB_074	번개검사
SELECT_JOB_075	성검사
SELECT_JOB_076	성검사
SELECT_JOB_077	마검사
SELECT_JOB_078	마검사
SELECT_JOB_079	검호
SELECT_JOB_080	검호
SELECT_JOB_081	열혈투사
SELECT_JOB_082	열혈투사
SELECT_JOB_083	질풍투사
SELECT_JOB_084	질풍투사
SELECT_JOB_085	빙설투사
SELECT_JOB_086	빙설투사
SELECT_JOB_087	암석투사
SELECT_JOB_088	암석투사
SELECT_JOB_089	번개투사
SELECT_JOB_090	번개투사
SELECT_JOB_091	몽크
SELECT_JOB_092	몽크
SELECT_JOB_093	패왕
SELECT_JOB_094	패왕
SELECT_JOB_095	철권
SELECT_JOB_096	철권
SELECT_JOB_097	슈터
SELECT_JOB_098	슈터
SELECT_JOB_099	빙우사수
SELECT_JOB_100	빙우사수
SELECT_JOB_101	헌터
SELECT_JOB_102	헌트레스
SELECT_JOB_103	번개사수
SELECT_JOB_104	번개사수
SELECT_JOB_105	소이광
SELECT_JOB_106	아르테미스
SELECT_JOB_107	스나이퍼
SELECT_JOB_108	스나이퍼
SELECT_JOB_109	강궁병
SELECT_JOB_110	강궁병
SELECT_JOB_111	기도사
SELECT_JOB_112	기도사
SELECT_JOB_113	순례자
SELECT_JOB_114	순례자
SELECT_JOB_115	예언자
SELECT_JOB_116	예언자
SELECT_JOB_117	파계승
SELECT_JOB_118	파계승
SELECT_JOB_119	화염닌자
SELECT_JOB_120	화염닌자
SELECT_JOB_121	아라시
SELECT_JOB_122	카마이타치
SELECT_JOB_123	키리가쿠레
SELECT_JOB_124	츠나데
SELECT_JOB_125	츠치구모
SELECT_JOB_126	츠치구모
SELECT_JOB_127	지라이야
SELECT_JOB_128	쿠노이치
SELECT_JOB_129	봉마사
SELECT_JOB_130	봉마사
SELECT_JOB_131	은밀
SELECT_JOB_132	은밀
SELECT_JOB_133	닌자 두령
SELECT_JOB_134	닌자 두령
SELECT_JOB_135	플레어 메이지
SELECT_JOB_136	플레어 메이지
SELECT_JOB_137	윈드 메이지
SELECT_JOB_138	윈드 메이지
SELECT_JOB_139	아쿠아 메이지
SELECT_JOB_140	아쿠아 메이지
SELECT_JOB_141	어스 메이지
SELECT_JOB_142	어스 메이지
SELECT_JOB_143	선더 메이지
SELECT_JOB_144	선더 메이지
SELECT_JOB_145	엔챈터
SELECT_JOB_146	엔챈트레스
SELECT_JOB_147	네크로맨서
SELECT_JOB_148	네크로맨서
SELECT_JOB_149	위저드 로드
SELECT_JOB_150	윗치 로드
SELECT_JOB_151	스파이
SELECT_JOB_152	스파이
SELECT_JOB_153	해적
SELECT_JOB_154	해적
SELECT_JOB_155	산적
SELECT_JOB_156	산적
SELECT_JOB_157	괴도
SELECT_JOB_158	괴도
SELECT_JOB_159	어새신
SELECT_JOB_160	어새신
SELECT_JOB_161	트레저 헌터
SELECT_JOB_162	트레저 헌터
SELECT_JOB_163	파이어 댄서
SELECT_JOB_164	여행예능인
SELECT_JOB_165	물예능인
SELECT_JOB_166	탭 댄서
SELECT_JOB_167	무녀
SELECT_JOB_168	아이돌
SELECT_JOB_169	섀도우 댄서
SELECT_JOB_170	무희
SELECT_JOB_171	화산학자
SELECT_JOB_172	화산학자
SELECT_JOB_173	기상학자
SELECT_JOB_174	기상학자
SELECT_JOB_175	해양학자
SELECT_JOB_176	해양학자
SELECT_JOB_177	지질학자
SELECT_JOB_178	지질학자
SELECT_JOB_179	발명가
SELECT_JOB_180	발명가
SELECT_JOB_181	신학자
SELECT_JOB_182	신학자
SELECT_JOB_183	천문학자
SELECT_JOB_184	천문학자
SELECT_JOB_185	물리학자
SELECT_JOB_186	물리학자
SELECT_JOB_187	트릭스타
SELECT_JOB_188	일류져니스트
SELECT_JOB_189	기술사
SELECT_JOB_190	저글러
