entry_index,expected_raw_hex,final_raw_hex,final_korean,reason,status
19,4C4F545553,12A1127F057F08,분꽃,일본어 オシロイバナ와 기존 설명 대응; 기존 분 글리프 재사용,DEVELOPMENT_VISUAL_REVIEW_PENDING
22,21B127CF24A1524F5345,21B127CF24A17F057F08,거베라꽃,ガーベラノハナ의 꽃을 ROSE로 잘못 남긴 부분 수정; 기존 거베라 표기 보존,DEVELOPMENT_VISUAL_REVIEW_PENDING
37,42454152,7F02,곰,일본어 クマチャン 및 곰 형상의 옷 설명 대응; 골과 공의 기존 코드는 보존,DEVELOPMENT_VISUAL_REVIEW_PENDING
44,21B612BC123AB124C423C4,21B612BC123AB124C47F01C4,검은허리띠,기존 ㄷ을 변경하지 않고 별도 ㄸ 조합을 추가; 원래 이름의 폭 보존,DEVELOPMENT_VISUAL_REVIEW_PENDING
62,2ACF27C4464C4F574552,2ACF27C47F057F08,제비꽃,スミレノハナ 및 기존 꽃 설명 대응; 영문 FLOWER 잔존 수정,DEVELOPMENT_VISUAL_REVIEW_PENDING
65,2BBA6F64,2BBA7F0C7F0D64,청룡도,사용자 정정 청롱도→청룡도; ㅛ 두 획의 전용 룡 사용; 40px 개발 한도와 최종 문맥 검증 별도,DEVELOPMENT_VISUAL_REVIEW_PENDING
79,5049434B415558,7F03207F047F0729C4,곡괭이,의미 보존; 곡의 advance를 16px로 맞추고 괭은 UI 굵은 성분 조합으로 재작성,DEVELOPMENT_VISUAL_REVIEW_PENDING
85,6829CF22C412A7123AB021C4,6829CF22C412A7127F057F08,도에니스꽃,ドエニスノハナ는 염료에 쓰는 꽃이며 향기가 아님; 고유명사 보존,DEVELOPMENT_VISUAL_REVIEW_PENDING
92,22A112D31224C4202DA3,22A112D31224C42DA3,나폴리탄,ナポリタン 한 음식명 내부의 저장 공백 1개만 제거,DEVELOPMENT_VISUAL_REVIEW_PENDING
96,21AA29A12AC42012C6,21AA29A12AC412D6,강아지풀,ネコジャラシ는 강아지풀; 기존 강아지 초를 조정하고 단어 내부 공백 제거,DEVELOPMENT_VISUAL_REVIEW_PENDING
101,464C4F57455229A321C2,12C71229A321C2,코안경,ハナメガネ는 코안경; 꽃으로 오역하지 않고 기존 코 글리프 95D7 재사용,DEVELOPMENT_VISUAL_REVIEW_PENDING
120,4252454144,7F067F09,빵,사용자 간판 참고: 굵은 윗부분과 넓고 둥근 받침 ㅇ을 빈 한 줄로 분리; 의미와 인코딩 보존,DEVELOPMENT_VISUAL_REVIEW_PENDING
128,26A121A124D43AB021C4,26A121A124D47F057F08,마가렛꽃,マーガレットノハナ와 꽃의 잎을 설명한 문맥 대응; 기존 고유명사 보존,DEVELOPMENT_VISUAL_REVIEW_PENDING
145,24A112A61229A320455945,24A112A61229A329C028D8,라슈안염색,ラシュアンゾメ는 염색; 기존 블랙의 랙에서 확인한 ㅐㄱ 성분 D8 재사용 및 72px 폭 보존,DEVELOPMENT_VISUAL_REVIEW_PENDING
156,4C4F4E4720424F57,7F0A7F0B782012B212,롱보우,raw 6F의 롱 판독은 사용자 반증으로 폐기; ㄹ 두 꺾임을 보존한 전용 글자 및 보 뒤 advance 보정,DEVELOPMENT_VISUAL_REVIEW_PENDING
