display_id	rom_job_id	japanese_compact	reference_name	decision_note
1	JOB_029	%hナリキリシ%h	나리키리사	
2	JOB_030	%hナリキリシ%h	나리키리사	
3	JOB_031	%hケンシ%h	검사	
4	JOB_032	%hケンシ%h	검사	
5	JOB_065	%hホノオケンシ%h	염검사	
6	JOB_066	%hホノオケンシ%h	염검사	
7	JOB_067	%hシップウケンシ%h	질풍검사	
8	JOB_068	%hシップウケンシ%h	질풍검사	
9	JOB_069	%hヒサメケンシ%h	빙우검사	
10	JOB_070	%hヒサメケンシ%h	빙우검사	
11	JOB_071	ベルセルガ	버서커	
12	JOB_072	アマゾネス	아마조네스	
13	JOB_073	%hカミナリケンシ%h	번개검사	
14	JOB_074	%hカミナリケンシ%h	번개검사	
15	JOB_075	%hセイケンシ%h	성검사	
16	JOB_076	%hセイケンシ%h	성검사	
17	JOB_077	%hマケンシ%h	마검사	
18	JOB_078	%hマケンシ%h	마검사	
19	JOB_079	%hケンゴウ%h	검호	
20	JOB_080	%hケンゴウ%h	검호	
21	JOB_033	%hカクトウカ%h	격투가	
22	JOB_034	%hカクトウカ%h	격투가	
23	JOB_081	%hネッケツトウシ%h	열혈투사	
24	JOB_082	%hネッケツトウシ%h	열혈투사	
25	JOB_083	%hシップウトウシ%h	질풍투사	
26	JOB_084	%hシップウトウシ%h	질풍투사	
27	JOB_085	%hヒョウセツトウシ%h	빙설투사	
28	JOB_086	%hヒョウセツトウシ%h	빙설투사	
29	JOB_087	%hガンセキトウシ%h	암석투사	
30	JOB_088	%hガンセキトウシ%h	암석투사	
31	JOB_089	%hカミナリトウシ%h	번개투사	
32	JOB_090	%hカミナリトウシ%h	번개투사	
33	JOB_091	モンク	몽크	
34	JOB_092	モンク	몽크	
35	JOB_093	%hハオウ%h	패왕	
36	JOB_094	%hハオウ%h	패왕	
37	JOB_095	%hテッケン%h	철권	
38	JOB_096	%hテッケン%h	철권	
39	JOB_035	アーチャー	아처	
40	JOB_036	アーチャー	아처	
41	JOB_097	シューター	슈터	
42	JOB_098	シューター	슈터	
43	JOB_099	%hヒョウセツシャシュ%h	빙우사수	일본어 빙설과 의미 차이가 있으나 사용자가 지정한 표의 빙우사수 채택
44	JOB_100	%hヒョウセツシャシュ%h	빙우사수	일본어 빙설과 의미 차이가 있으나 사용자가 지정한 표의 빙우사수 채택
45	JOB_101	ハンター	헌터	
46	JOB_102	ハントレス	헌트레스	
47	JOB_103	%hイカズチシャシュ%h	번개사수	
48	JOB_104	%hイカズチシャシュ%h	번개사수	
49	JOB_105	%hショウリコウ%h	소이광	
50	JOB_106	アルテミス	아르테미스	
51	JOB_107	スナイパー	스나이퍼	
52	JOB_108	スナイパー	스나이퍼	
53	JOB_109	%hゴウキュウヘイ%h	강궁병	
54	JOB_110	%hゴウキュウヘイ%h	강궁병	
55	JOB_037	クレリック	클레릭	
56	JOB_038	クレリック	클레릭	
57	JOB_111	%hキトウシ%h	기도사	
58	JOB_112	%hキトウシ%h	기도사	
59	JOB_113	%hジュンレイシャ%h	순례자	
60	JOB_114	%hジュンレイシャ%h	순례자	
61	JOB_193	プリースト	프리스트	
62	JOB_194	プリーステス	프리스테스	
63	JOB_195	ドルイド	드루이드	
64	JOB_196	ドルイド	드루이드	
65	JOB_197	ミスティック	미스틱	
66	JOB_198	ミスティック	미스틱	
67	JOB_115	%hヨゲンシャ%h	예언자	
68	JOB_116	%hヨゲンシャ%h	예언자	
69	JOB_117	%hハカイソウ%h	파계승	
70	JOB_118	%hハカイソウ%h	파계승	
71	JOB_199	ビショップ	비숍	
72	JOB_200	ビショップ	비숍	
73	JOB_039	ニンジャ	닌자	
74	JOB_040	ニンジャ	닌자	
75	JOB_119	%hカエン%hニンジャ	화염닌자	
76	JOB_120	%hカエン%hニンジャ	화염닌자	
77	JOB_121	アラシ	아라시	
78	JOB_122	カマイタチ	카마이타치	
79	JOB_123	%hキリガクレ%h	키리가쿠레	
80	JOB_124	%hツナデ%h	츠나데	
81	JOB_125	%hツチグモ%h	츠치구모	
82	JOB_126	%hツチグモ%h	츠치구모	
83	JOB_127	%hジライヤ%h	지라이야	
84	JOB_128	%hクノイチ%h	쿠노이치	
85	JOB_129	%hフウマシ%h	봉마사	
86	JOB_130	%hフウマシ%h	봉마사	
87	JOB_131	%hオンミツ%h	은밀	
88	JOB_132	%hオンミツ%h	은밀	
89	JOB_133	ニンジャ%hガシラ%h	닌자 두령	
90	JOB_134	ニンジャ%hガシラ%h	닌자 두령	
91	JOB_041	ウィザード	위저드	
92	JOB_042	ウィッチ	윗치	
93	JOB_135	フレアメイジ	플레어 메이지	
94	JOB_136	フレアメイジ	플레어 메이지	
95	JOB_137	ウィンドメイジ	윈드 메이지	
96	JOB_138	ウィンドメイジ	윈드 메이지	
97	JOB_139	アクアメイジ	아쿠아 메이지	
98	JOB_140	アクアメイジ	아쿠아 메이지	
99	JOB_141	アースメイジ	어스 메이지	
100	JOB_142	アースメイジ	어스 메이지	
101	JOB_143	サンダーメイジ	선더 메이지	
102	JOB_144	サンダーメイジ	선더 메이지	
103	JOB_145	エンチャンター	엔챈터	
104	JOB_146	エンチャントレス	엔챈트레스	
105	JOB_147	ネクロマンサー	네크로맨서	
106	JOB_148	ネクロマンサー	네크로맨서	
107	JOB_149	ウィザードロード	위저드 로드	
108	JOB_150	ウィッチロード	윗치 로드	
109	JOB_063	%hトウゾク%h	도적	
110	JOB_064	%hトウゾク%h	도적	
111	JOB_151	スパイ	스파이	
112	JOB_152	スパイ	스파이	
113	JOB_153	%hカイゾク%h	해적	
114	JOB_154	%hカイゾク%h	해적	
115	JOB_155	%hサンゾク%h	산적	
116	JOB_156	%hサンゾク%h	산적	
